hpi_type,hpi_flavor,frequency,level,place_name,place_id,yr,period,index_nsa,index_sa
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1991,1,100.00,100.00
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1991,2,100.87,100.87
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1991,3,101.33,100.90
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1991,4,101.73,100.97
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1991,5,102.32,101.31
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1991,6,102.80,101.45
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1991,7,103.02,101.85
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1991,8,103.14,102.01
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1991,9,102.86,102.00
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1991,10,103.08,102.25
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1991,11,103.99,103.30
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1991,12,103.74,103.34
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,1,103.86,103.87
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,2,104.37,104.36
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,3,105.53,105.11
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,4,105.93,105.13
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,5,106.51,105.46
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,6,106.96,105.54
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,7,107.12,105.90
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,8,107.53,106.34
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,9,107.53,106.62
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,10,108.17,107.28
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,11,108.42,107.71
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,12,108.75,108.36
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1993,1,108.38,108.43
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1993,2,108.34,108.31
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1993,3,109.19,108.81
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1993,4,110.19,109.35
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1993,5,110.80,109.70
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1993,6,111.93,110.43
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1993,7,112.13,110.82
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1993,8,112.60,111.34
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1993,9,113.05,112.06
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1993,10,113.22,112.27
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1993,11,113.52,112.80
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1993,12,113.79,113.40
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1994,1,114.03,114.14
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1994,2,114.37,114.33
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1994,3,115.09,114.72
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1994,4,116.28,115.38
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1994,5,117.11,115.93
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1994,6,117.84,116.24
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1994,7,117.89,116.48
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1994,8,118.28,116.93
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1994,9,118.30,117.22
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1994,10,118.91,117.90
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1994,11,119.06,118.35
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1994,12,118.85,118.47
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1995,1,119.03,119.22
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1995,2,119.88,119.83
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1995,3,120.37,120.00
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1995,4,121.68,120.74
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1995,5,121.98,120.70
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1995,6,123.19,121.51
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1995,7,123.64,122.11
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1995,8,124.22,122.79
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1995,9,124.48,123.31
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1995,10,124.75,123.70
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1995,11,124.62,123.88
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1995,12,125.03,124.69
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1996,1,124.86,125.13
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1996,2,125.84,125.78
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1996,3,126.65,126.26
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1996,4,128.20,127.23
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1996,5,128.90,127.50
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1996,6,129.44,127.68
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1996,7,130.05,128.38
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1996,8,129.81,128.29
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1996,9,129.99,128.73
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1996,10,129.82,128.72
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1996,11,130.65,129.93
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1996,12,130.49,130.18
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1997,1,129.93,130.25
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1997,2,130.55,130.49
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1997,3,131.71,131.26
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1997,4,132.08,131.11
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1997,5,133.48,131.98
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1997,6,133.98,132.17
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1997,7,134.32,132.53
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1997,8,134.50,132.92
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1997,9,134.45,133.12
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1997,10,134.74,133.62
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1997,11,134.66,133.97
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1997,12,134.54,134.27
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1998,1,134.42,134.77
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1998,2,135.64,135.60
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1998,3,136.49,135.99
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1998,4,137.27,136.32
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1998,5,138.35,136.75
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1998,6,139.31,137.42
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1998,7,139.63,137.72
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1998,8,139.95,138.27
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1998,9,140.50,139.06
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1998,10,141.01,139.84
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1998,11,141.41,140.74
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1998,12,141.28,141.07
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1999,1,141.23,141.56
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1999,2,142.45,142.44
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1999,3,143.35,142.80
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1999,4,144.17,143.19
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1999,5,145.90,144.19
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1999,6,146.69,144.69
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1999,7,147.40,145.34
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1999,8,148.12,146.30
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1999,9,148.09,146.52
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1999,10,148.49,147.24
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1999,11,148.15,147.46
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1999,12,148.40,148.24
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2000,1,149.54,149.87
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2000,2,149.18,149.23
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2000,3,151.14,150.58
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2000,4,152.21,151.20
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2000,5,153.38,151.57
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2000,6,154.72,152.59
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2000,7,155.50,153.29
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2000,8,155.73,153.75
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2000,9,155.89,154.17
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2000,10,155.96,154.59
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2000,11,155.82,155.14
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2000,12,156.21,156.09
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2001,1,156.38,156.74
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2001,2,157.31,157.45
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2001,3,158.43,157.89
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2001,4,159.72,158.65
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2001,5,161.04,159.12
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2001,6,161.83,159.56
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2001,7,162.51,160.14
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2001,8,162.81,160.66
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2001,9,163.11,161.27
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2001,10,163.86,162.39
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2001,11,163.29,162.57
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2001,12,163.22,163.13
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2002,1,163.56,164.01
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2002,2,164.05,164.32
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2002,3,165.56,165.07
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2002,4,166.41,165.28
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2002,5,168.04,165.99
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2002,6,169.23,166.79
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2002,7,169.69,167.16
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2002,8,170.05,167.69
